Date,Unemployment_Rate_MI,Unemployment_Rate_US,Rank,Highlights
Aug-92,0.09,0.076,,
Sep-92,0.088,0.076,,
Oct-92,0.085,0.073,,
Nov-92,0.082,0.074,,
Dec-92,0.078,0.074,,
Jan-93,0.076,0.073,,
Feb-93,0.074,0.071,,
Mar-93,0.073,0.07,,
Apr-93,0.072,0.071,,
May-93,0.072,0.071,,
Jun-93,0.072,0.07,,
Jul-93,0.072,0.069,,
Aug-93,0.072,0.068,,
Sep-93,0.072,0.067,,
Oct-93,0.072,0.068,,
Nov-93,0.072,0.066,,
Dec-93,0.071,0.065,,
Jan-94,0.071,0.066,,
Feb-94,0.069,0.066,,
Mar-94,0.066,0.065,,
Apr-94,0.064,0.064,,
May-94,0.061,0.061,,
Jun-94,0.06,0.061,,
Jul-94,0.058,0.061,,
Aug-94,0.057,0.06,,
Sep-94,0.056,0.059,,
Oct-94,0.054,0.058,,
Nov-94,0.053,0.056,,
Dec-94,0.052,0.055,,
Jan-95,0.052,0.056,,
Feb-95,0.052,0.054,,
Mar-95,0.054,0.054,,
Apr-95,0.055,0.058,,
May-95,0.055,0.056,,
Jun-95,0.055,0.056,,
Jul-95,0.054,0.057,,
Aug-95,0.053,0.057,,
Sep-95,0.052,0.056,,
Oct-95,0.05,0.055,,
Nov-95,0.05,0.056,,
Dec-95,0.049,0.056,,
Jan-96,0.049,0.056,,
Feb-96,0.049,0.055,,
Mar-96,0.05,0.055,,
Apr-96,0.05,0.056,,
May-96,0.05,0.056,,
Jun-96,0.05,0.053,,
Jul-96,0.049,0.055,,
Aug-96,0.049,0.051,,
Sep-96,0.048,0.052,,
Oct-96,0.048,0.052,,
Nov-96,0.048,0.054,,
Dec-96,0.047,0.054,,
Jan-97,0.047,0.053,,
Feb-97,0.046,0.052,,
Mar-97,0.044,0.052,,
Apr-97,0.043,0.051,,
May-97,0.042,0.049,,
Jun-97,0.042,0.05,,
Jul-97,0.041,0.049,,
Aug-97,0.041,0.048,,
Sep-97,0.041,0.049,,
Oct-97,0.041,0.047,,
Nov-97,0.041,0.046,,
Dec-97,0.041,0.047,,
Jan-98,0.04,0.046,,
Feb-98,0.039,0.046,,
Mar-98,0.038,0.047,,
Apr-98,0.038,0.043,,
May-98,0.037,0.044,,
Jun-98,0.038,0.045,,
Jul-98,0.047,0.045,,
Aug-98,0.039,0.045,,
Sep-98,0.04,0.046,,
Oct-98,0.04,0.045,,
Nov-98,0.04,0.044,,
Dec-98,0.039,0.044,,
Jan-99,0.039,0.043,,
Feb-99,0.039,0.044,,
Mar-99,0.039,0.042,,
Apr-99,0.038,0.043,,
May-99,0.038,0.042,,
Jun-99,0.037,0.043,,
Jul-99,0.036,0.043,,
Aug-99,0.036,0.042,,
Sep-99,0.036,0.042,,
Oct-99,0.036,0.041,,
Nov-99,0.035,0.041,,
Dec-99,0.034,0.04,,
Jan-00,0.033,0.04,17,
Feb-00,0.032,0.041,28,
Mar-00,0.032,0.04,30,
Apr-00,0.033,0.038,31,
May-00,0.035,0.04,14,
Jun-00,0.037,0.04,14,
Jul-00,0.038,0.04,14,
Aug-00,0.038,0.041,17,
Sep-00,0.039,0.039,17,
Oct-00,0.039,0.039,23,
Nov-00,0.04,0.039,23,
Dec-00,0.042,0.039,24,
Jan-01,0.044,0.042,33,
Feb-01,0.046,0.042,43,
Mar-01,0.047,0.043,43,
Apr-01,0.048,0.044,44,
May-01,0.048,0.043,34,
Jun-01,0.049,0.045,34,
Jul-01,0.05,0.046,34,
Aug-01,0.052,0.049,36,
Sep-01,0.055,0.05,35,
Oct-01,0.058,0.053,38,
Nov-01,0.061,0.055,39,
Dec-01,0.063,0.057,41,
Jan-02,0.064,0.057,44,
Feb-02,0.064,0.057,42,
Mar-02,0.064,0.057,42,
Apr-02,0.064,0.059,42,
May-02,0.063,0.058,43,
Jun-02,0.063,0.058,43,
Jul-02,0.062,0.058,43,
Aug-02,0.061,0.057,42,
Sep-02,0.061,0.057,42,
Oct-02,0.061,0.057,41,
Nov-02,0.062,0.059,40,
Dec-02,0.064,0.06,41,
Jan-03,0.066,0.058,43,
Feb-03,0.069,0.059,47,
Mar-03,0.071,0.059,47,
Apr-03,0.072,0.06,46,
May-03,0.074,0.061,47,
Jun-03,0.075,0.063,47,
Jul-03,0.075,0.062,47,
Aug-03,0.075,0.061,47,
Sep-03,0.073,0.061,47,
Oct-03,0.072,0.06,47,
Nov-03,0.07,0.058,47,
Dec-03,0.069,0.057,47,
Jan-04,0.068,0.057,46,
Feb-04,0.068,0.056,49,
Mar-04,0.069,0.058,49,
Apr-04,0.069,0.056,49,
May-04,0.07,0.056,47,
Jun-04,0.07,0.056,48,
Jul-04,0.07,0.055,47,
Aug-04,0.071,0.054,48,
Sep-04,0.071,0.054,48,
Oct-04,0.072,0.055,48,
Nov-04,0.072,0.054,48,
